RUN	petApp.Journey	journey	1593606371309	 	3.3.1
REQUEST	77		Add a new pet to the storehttps://petstore.swagger.io	1593606411372	1593606412151	OK	 
REQUEST	77		Verify pet to the store as per statushttps://petstore.swagger.io	1593606412155	1593606412347	OK	 
USER	Add a new pet to the store	77	END	1593606411370	1593606412351
USER	Add a new pet to the store	79	START	1593606412367	1593606412367
REQUEST	78		Add a new pet to the storehttps://petstore.swagger.io	1593606411867	1593606412656	OK	 
REQUEST	78		Verify pet to the store as per statushttps://petstore.swagger.io	1593606412657	1593606412857	OK	 
USER	Add a new pet to the store	80	START	1593606412858	1593606412858
USER	Add a new pet to the store	78	END	1593606411865	1593606412859
REQUEST	79		Add a new pet to the storehttps://petstore.swagger.io	1593606412369	1593606413174	OK	 
USER	Add a new pet to the store	81	START	1593606413356	1593606413356
REQUEST	79		Verify pet to the store as per statushttps://petstore.swagger.io	1593606413177	1593606413376	OK	 
USER	Add a new pet to the store	79	END	1593606412367	1593606413383
USER	Add a new pet to the store	82	START	1593606413866	1593606413866
REQUEST	80		Add a new pet to the storehttps://petstore.swagger.io	1593606412859	1593606413867	OK	 
REQUEST	80		Verify pet to the store as per statushttps://petstore.swagger.io	1593606413869	1593606414066	OK	 
USER	Add a new pet to the store	80	END	1593606412858	1593606414068
USER	Add a new pet to the store	83	START	1593606414370	1593606414370
REQUEST	82		Add a new pet to the storehttps://petstore.swagger.io	1593606413867	1593606414781	OK	 
USER	Add a new pet to the store	84	START	1593606414854	1593606414854
REQUEST	81		Add a new pet to the storehttps://petstore.swagger.io	1593606413358	1593606414914	OK	 
REQUEST	82		Verify pet to the store as per statushttps://petstore.swagger.io	1593606414783	1593606414982	OK	 
USER	Add a new pet to the store	82	END	1593606413866	1593606414986
REQUEST	81		Verify pet to the store as per statushttps://petstore.swagger.io	1593606414915	1593606415111	OK	 
USER	Add a new pet to the store	81	END	1593606413356	1593606415113
REQUEST	83		Add a new pet to the storehttps://petstore.swagger.io	1593606414373	1593606415160	OK	 
USER	Add a new pet to the store	85	START	1593606415359	1593606415359
REQUEST	83		Verify pet to the store as per statushttps://petstore.swagger.io	1593606415162	1593606415362	OK	 
USER	Add a new pet to the store	83	END	1593606414370	1593606415366
REQUEST	84		Add a new pet to the storehttps://petstore.swagger.io	1593606414855	1593606415646	OK	 
REQUEST	84		Verify pet to the store as per statushttps://petstore.swagger.io	1593606415648	1593606415844	OK	 
USER	Add a new pet to the store	84	END	1593606414854	1593606415846
USER	Add a new pet to the store	86	START	1593606415858	1593606415858
REQUEST	85		Add a new pet to the storehttps://petstore.swagger.io	1593606415361	1593606416204	OK	 
USER	Add a new pet to the store	87	START	1593606416360	1593606416360
REQUEST	85		Verify pet to the store as per statushttps://petstore.swagger.io	1593606416207	1593606416405	OK	 
USER	Add a new pet to the store	85	END	1593606415359	1593606416409
REQUEST	86		Add a new pet to the storehttps://petstore.swagger.io	1593606415859	1593606416648	OK	 
REQUEST	86		Verify pet to the store as per statushttps://petstore.swagger.io	1593606416653	1593606416849	OK	 
USER	Add a new pet to the store	86	END	1593606415858	1593606416853
USER	Add a new pet to the store	88	START	1593606416868	1593606416868
REQUEST	87		Add a new pet to the storehttps://petstore.swagger.io	1593606416362	1593606417154	OK	 
REQUEST	87		Verify pet to the store as per statushttps://petstore.swagger.io	1593606417157	1593606417353	OK	 
USER	Add a new pet to the store	87	END	1593606416360	1593606417356
USER	Add a new pet to the store	89	START	1593606417364	1593606417364
